"uniqueID","Author.order","Author.name"
2,"Author.1","Haas, Bianca"
2,"Author.2","Haward, Marcus"
2,"Author.3","McGee, Jeffrey"
2,"Author.4","Fleming, Aysha"
3,"Author.1","Tessnow-von Wysocki, Ina"
3,"Author.2","Vadrot, Alice B. M."
7,"Author.1","Clark, Nichola A."
8,"Author.1","Cremers, Klaudija"
8,"Author.2","Wright, Glen"
8,"Author.3","Rochette, Julien"
9,"Author.1","Crespo, Guillermo Ortuno"
9,"Author.2","Mossop, Joanna"
9,"Author.3","Dunn, Daniel"
9,"Author.4","Gjerde, Kristina"
9,"Author.5","Hazen, Elliott"
9,"Author.6","Reygondeau, Gabriel"
9,"Author.7","Warner, Robin"
9,"Author.8","Tittensor, Derek"
9,"Author.9","Halpin, Patrick"
10,"Author.1","Gardiner, Natasha B."
11,"Author.1","Harden-Davies, Harriet"
11,"Author.2","Humphries, Fran"
11,"Author.3","Maloney, Michelle"
11,"Author.4","Wright, Glen"
11,"Author.5","Gjerde, Kristina"
11,"Author.6","Vierros, Marjo"
13,"Author.1","Humphries, Fran"
13,"Author.2","Harden-Davies, Harriet"
15,"Author.1","Mossop, Joanna"
15,"Author.2","Schofield, Clive"
16,"Author.1","Mulalap, Clement Yow"
16,"Author.2","Frere, Tekau"
16,"Author.3","Huffer, Elise"
16,"Author.4","Hviding, Edvard"
16,"Author.5","Paul, Kenneth"
16,"Author.6","Smith, Anita"
16,"Author.7","Vierros, Marjo K."
17,"Author.1","Shi, Yubing"
18,"Author.1","Vierros, Marjo K."
18,"Author.2","Harden-Davies, Harriet"
19,"Author.1","Visalli, Morgan E."
19,"Author.2","Best, Benjamin D."
19,"Author.3","Cabral, Reniel B."
19,"Author.4","Cheung, William W. L."
19,"Author.5","Clark, Nichola A."
19,"Author.6","Garilao, Cristina"
19,"Author.7","Kaschner, Kristin"
19,"Author.8","Kesner-Reyes, Kathleen"
19,"Author.9","Lam, Vicky W. Y."
19,"Author.10","Maxwell, Sara M."
19,"Author.11","Mayorga, Juan"
19,"Author.12","Moeller, Holly V."
19,"Author.13","Morgan, Lance"
19,"Author.14","Crespo, Guillermo Ortuno"
19,"Author.15","Pinsky, Malin L."
19,"Author.16","White, Timothy D."
19,"Author.17","McCauley, Douglas J."
20,"Author.1","Yadav, Siddharth Shekhar"
20,"Author.2","Gjerde, Kristina Maria"
21,"Author.1","Gunasekara, Sandya Nishanthi"
21,"Author.2","Karim, Md Saiful"
26,"Author.1","Haas, Bianca"
26,"Author.2","Haward, Marcus"
26,"Author.3","McGee, Jeffrey"
26,"Author.4","Fleming, Aysha"
27,"Author.1","Gaebel, Christine"
27,"Author.2","Baulcomb, Corinne"
27,"Author.3","Johnson, David E."
27,"Author.4","Roberts, J. Murray"
30,"Author.1","Vierros, Marjo K."
30,"Author.2","Harrison, Autumn-Lynn"
30,"Author.3","Sloat, Matthew R."
30,"Author.4","Crespo, Guillermo Ortuno"
30,"Author.5","Moore, Jonathan W."
30,"Author.6","Dunn, Daniel C."
30,"Author.7","Ota, Yoshitaka"
30,"Author.8","Cisneros-Montemayor, Andres M."
30,"Author.9","Shillinger, George L."
30,"Author.10","Watson, Trisha Kehaulani"
30,"Author.11","Govan, Hugh"
33,"Author.1","Payne, Cymie R."
37,"Author.1","Papastavridis, Efthymios"
38,"Author.1","De Santo, Elizabeth M."
38,"Author.2","Mendenhall, Elizabeth"
38,"Author.3","Nyman, Elizabeth"
38,"Author.4","Tiller, Rachel"
41,"Author.1","Marsac, Francis"
41,"Author.2","Galletti, Florence"
41,"Author.3","Ternon, Jean-Francois"
41,"Author.4","Romanov, Evgeny, V"
41,"Author.5","Demarcq, Herve"
41,"Author.6","Corbari, Laure"
41,"Author.7","Bouchet, Philippe"
41,"Author.8","Roest, Walter R."
41,"Author.9","Jorry, Stephan J."
41,"Author.10","Olu, Karine"
41,"Author.11","Loncke, Lies"
41,"Author.12","Roberts, Michael J."
41,"Author.13","Menard, Frederic"
54,"Author.1","O'Leary, Bethan C."
54,"Author.2","Hoppit, George"
54,"Author.3","Townley, Adam"
54,"Author.4","Allen, Harriet L."
54,"Author.5","McIntyre, Christina J."
54,"Author.6","Roberts, Callum M."
57,"Author.1","Haas, Bianca"
57,"Author.2","McGee, Jeffrey"
57,"Author.3","Fleming, Aysha"
57,"Author.4","Haward, Marcus"
68,"Author.1","Sequeira, Ana Micaela Martins"
68,"Author.2","Hays, Graeme Clive"
68,"Author.3","Sims, David W."
68,"Author.4","Eguiluz, Vctor M."
68,"Author.5","Rodriguez, Jorge P."
68,"Author.6","Heupel, Michelle R."
68,"Author.7","Harcourt, Rob"
68,"Author.8","Calich, Hannah"
68,"Author.9","Queiroz, Nuno"
68,"Author.10","Costa, Daniel Paul"
68,"Author.11","Fernandez-Gracia, Juan"
68,"Author.12","Ferreira, Luciana C."
68,"Author.13","Goldsworthy, Simon David"
68,"Author.14","Hindell, Mark A."
68,"Author.15","Lea, Mary-Anne"
68,"Author.16","Meekan, Mark G."
68,"Author.17","Pagano, Anthony M."
68,"Author.18","Shaffer, Scott A."
68,"Author.19","Reisser, Julia"
68,"Author.20","Thums, Michele"
68,"Author.21","Weise, Michael"
68,"Author.22","Duarte, Carlos M."
71,"Author.1","Bell, James B."
71,"Author.2","Guijarro-Garcia, Elena"
71,"Author.3","Kenny, Andrew"
72,"Author.1","Blanchard, Catherine"
72,"Author.2","Durussel, Carole"
72,"Author.3","Boteler, Ben"
74,"Author.1","Mendenhall, Elizabeth"
74,"Author.2","De Santo, Elizabeth"
74,"Author.3","Nyman, Elizabeth"
74,"Author.4","Tiller, Rachel"
82,"Author.1","Wang, Yong"
84,"Author.1","Long, Ronan"
86,"Author.1","Sparks, Jessica L. Decker"
86,"Author.2","Sliva, Shannon M."
89,"Author.1","Laffoley, Dan"
89,"Author.2","Baxter, John M."
89,"Author.3","Amon, Diva J."
89,"Author.4","Currie, Duncan E. J."
89,"Author.5","Downs, Craig A."
89,"Author.6","Hall-Spencer, Jason M."
89,"Author.7","Harden-Davies, Harriet"
89,"Author.8","Page, Richard"
89,"Author.9","Reid, Chris P."
89,"Author.10","Roberts, Callum M."
89,"Author.11","Rogers, Alex"
89,"Author.12","Thiele, Thorsten"
89,"Author.13","Sheppard, Charles R. C."
89,"Author.14","Sumaila, Rashid U."
89,"Author.15","Woodall, Lucy C."
90,"Author.1","Elferink, Alex G. Oude"
92,"Author.1","Popova, Ekaterina"
92,"Author.2","Vousden, David"
92,"Author.3","Sauer, Warwick H. H."
92,"Author.4","Mohammed, Essam Y."
92,"Author.5","Allain, Valerie"
92,"Author.6","Downey-Breedt, Nicola"
92,"Author.7","Fletcher, Ruth"
92,"Author.8","Gjerde, Kristina M."
92,"Author.9","Halpin, Patrick N."
92,"Author.10","Kelly, Stephen"
92,"Author.11","Obura, David"
92,"Author.12","Pecl, Gretta"
92,"Author.13","Roberts, Michael"
