PeriodCODE;index_KM;z-score_afinn;z-score_bing;count;mean_score;all_451z-scores
1;71;0.600712521;-0.287034455;2;0.156839033;0.156839033
1;72;;0.467400701;1;;0.467400701
1;75;0.108686373;0.467400701;2;0.288043537;0.288043537
1;77;0.600712521;0.467400701;2;0.534056611;0.534056611
1;78;;0.467400701;1;;0.467400701
1;79;;0.467400701;1;;0.467400701
1;80;0.600712521;0.467400701;2;0.534056611;0.534056611
1;146;;-1.041469612;1;;-1.041469612
1;148;;0.467400701;1;;0.467400701
1;150;;1.221835857;1;;1.221835857
1;151;0.108686373;1.221835857;2;0.665261115;0.665261115
1;152;0.108686373;1.221835857;2;0.665261115;0.665261115
1;153;0.600712521;-1.041469612;2;-0.220378545;-0.220378545
1;154;1.092738669;0.467400701;2;0.780069685;0.780069685
1;156;0.108686373;;1;;0.108686373
1;216;;0.467400701;1;;0.467400701
1;218;;-1.041469612;1;;-1.041469612
1;219;-0.875365923;;1;;-0.875365923
1;220;0.108686373;1.976271013;2;1.042478693;1.042478693
1;221;0.108686373;0.467400701;2;0.288043537;0.288043537
1;222;0.600712521;0.467400701;2;0.534056611;0.534056611
1;223;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
1;225;0.600712521;1.221835857;2;0.911274189;0.911274189
1;226;;-1.041469612;1;;-1.041469612
1;273;0.600712521;0.467400701;2;0.534056611;0.534056611
1;274;;-1.041469612;1;;-1.041469612
1;275;;1.221835857;1;;1.221835857
1;276;0.108686373;;1;;0.108686373
1;277;0.600712521;0.467400701;2;0.534056611;0.534056611
1;278;0.600712521;0.467400701;2;0.534056611;0.534056611
1;279;0.600712521;1.221835857;2;0.911274189;0.911274189
1;280;0.108686373;-1.795904768;2;-0.843609197;-0.843609197
1;319;-0.875365923;;1;;-0.875365923
1;320;1.092738669;;1;;1.092738669
1;321;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
1;323;0.600712521;0.467400701;2;0.534056611;0.534056611
1;324;0.108686373;;1;;0.108686373
1;325;2.076790966;1.976271013;2;2.02653099;2.02653099
1;326;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
1;360;;0.467400701;1;;0.467400701
1;363;0.108686373;;1;;0.108686373
1;364;;0.467400701;1;;0.467400701
1;365;1.584764818;0.467400701;2;1.026082759;1.026082759
1;366;-0.875365923;-1.795904768;2;-1.335635346;-1.335635346
1;397;;0.467400701;1;;0.467400701
1;398;0.108686373;1.221835857;2;0.665261115;0.665261115
1;399;0.600712521;1.221835857;2;0.911274189;0.911274189
1;400;0.600712521;;1;;0.600712521
1;401;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
1;402;2.568817114;1.221835857;2;1.895326486;1.895326486
1;430;;0.467400701;1;;0.467400701
1;431;0.600712521;0.467400701;2;0.534056611;0.534056611
1;432;0.108686373;1.976271013;2;1.042478693;1.042478693
1;433;;0.467400701;1;;0.467400701
1;434;1.584764818;3.485141326;2;2.534953072;2.534953072
1;455;0.600712521;0.467400701;2;0.534056611;0.534056611
1;457;0.108686373;0.467400701;2;0.288043537;0.288043537
1;458;0.600712521;0.467400701;2;0.534056611;0.534056611
1;478;0.108686373;;1;;0.108686373
1;480;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
1;500;-0.875365923;;1;;-0.875365923
1;515;;-1.041469612;1;;-1.041469612
1;516;0.600712521;1.221835857;2;0.911274189;0.911274189
1;517;-1.85941822;0.467400701;2;-0.696008759;-0.696008759
1;529;;0.467400701;1;;0.467400701
1;553;;0.467400701;1;;0.467400701
1;567;0.600712521;0.467400701;2;0.534056611;0.534056611
1;571;0.600712521;-1.041469612;2;-0.220378545;-0.220378545
1;575;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
1;579;-0.875365923;;1;;-0.875365923
1;582;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
1;585;0.108686373;;1;;0.108686373
1;588;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
2;42;0.108686373;0.467400701;2;0.288043537;0.288043537
2;43;2.568817114;-0.287034455;2;1.140891329;1.140891329
2;44;0.108686373;;1;;0.108686373
2;45;0.600712521;0.467400701;2;0.534056611;0.534056611
2;46;0.600712521;-0.287034455;2;0.156839033;0.156839033
2;48;;0.467400701;1;;0.467400701
2;50;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
2;53;;-1.041469612;1;;-1.041469612
2;54;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
2;55;;1.221835857;1;;1.221835857
2;56;1.584764818;0.467400701;2;1.026082759;1.026082759
2;62;0.108686373;0.467400701;2;0.288043537;0.288043537
2;63;-0.875365923;-1.795904768;2;-1.335635346;-1.335635346
2;64;0.108686373;0.467400701;2;0.288043537;0.288043537
2;65;1.092738669;0.467400701;2;0.780069685;0.780069685
2;66;1.092738669;;1;;1.092738669
2;67;1.584764818;1.221835857;2;1.403300337;1.403300337
2;119;;0.467400701;1;;0.467400701
2;121;0.108686373;;1;;0.108686373
2;122;0.108686373;0.467400701;2;0.288043537;0.288043537
2;123;0.108686373;;1;;0.108686373
2;124;-0.383339775;-1.041469612;2;-0.712404693;-0.712404693
2;127;0.600712521;1.221835857;2;0.911274189;0.911274189
2;129;0.108686373;;1;;0.108686373
2;130;;-1.041469612;1;;-1.041469612
2;132;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
2;133;;0.467400701;1;;0.467400701
2;135;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
2;137;;0.467400701;1;;0.467400701
2;138;0.108686373;0.467400701;2;0.288043537;0.288043537
2;139;1.584764818;3.485141326;2;2.534953072;2.534953072
2;140;;0.467400701;1;;0.467400701
2;142;0.600712521;0.467400701;2;0.534056611;0.534056611
2;143;0.600712521;0.467400701;2;0.534056611;0.534056611
2;144;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
2;191;1.092738669;1.221835857;2;1.157287263;1.157287263
2;193;;0.467400701;1;;0.467400701
2;194;0.600712521;0.467400701;2;0.534056611;0.534056611
2;195;1.092738669;0.467400701;2;0.780069685;0.780069685
2;196;;-1.041469612;1;;-1.041469612
2;197;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
2;198;-0.383339775;;1;;-0.383339775
2;199;0.600712521;-0.287034455;2;0.156839033;0.156839033
2;200;;-1.795904768;1;;-1.795904768
2;201;0.108686373;1.221835857;2;0.665261115;0.665261115
2;203;0.108686373;;1;;0.108686373
2;204;-1.85941822;-1.795904768;2;-1.827661494;-1.827661494
2;205;;1.221835857;1;;1.221835857
2;206;;1.221835857;1;;1.221835857
