"Category","Negotiation.phase","msg.number","Message"
"II","IGC",1,"fisheries"
"II","IGC",1,"discussed"
"II","IGC",1,"undermine"
"II","IGC",1,"existing"
"II","IGC",1,"legal"
"II","IGC",1,"instrumentst"
"II","IGC",2,"strenghten"
"II","IGC",2,"regional"
"II","IGC",2,"sectoral"
"II","IGC",2,"bodies"
"II","IGC",2,"generate"
"II","IGC",2,"cooperation"
"II","IGC",3,"legal"
"II","IGC",3,"governance"
"II","IGC",3,"gaps"
"II","IGC",3,"remain"
"II","IGC",4,"limitations"
"II","IGC",4,"existing"
"II","IGC",4,"governance"
"II","IGC",4,"framework"
"II","IGC",4,"gaps"
"II","IGC",4,"coverage"
"II","IGC",4,"seas"
"II","IGC",4,"activities"
"I","IGC",5,"practical"
"I","IGC",5,"function"
"I","IGC",5,"scientific"
"I","IGC",5,"technical"
"I","IGC",5,"body"
"I","IGC",5,"remains"
"I","IGC",5,"elusive"
"II","IGC",6,"strengthen"
"II","IGC",6,"international"
"II","IGC",6,"agreements"
"II","IGC",7,"connection"
"II","IGC",7,"coastal"
"II","IGC",7,"abnj"
"II","IGC",7,"reflected"
"I","IGC",8,"convergence"
"I","IGC",8,"science"
"I","IGC",8,"traditional"
"I","IGC",8,"knowledge"
"I","IGC",8,"application"
"I","IGC",8,"precautionary"
"I","IGC",8,"approach"
"I","IGC",8,"ecosystem"
"I","IGC",8,"approach"
"I","IGC",8,"basis"
"I","IGC",8,"identified"
"I","IGC",8,"proposals"
"I","IGC",8,"formulated"
"III","IGC",9,"inclusion"
"III","IGC",9,"provisions"
"III","IGC",9,"adjacent"
"III","IGC",9,"coastal"
"III","IGC",9,"provided"
"I","IGC",10,"references"
"I","IGC",10,"relevant"
"I","IGC",10,"traditional"
"I","IGC",10,"knowledge"
"II","IGC",11,"current"
"II","IGC",11,"decides"
"II","IGC",11,"reach"
"II","IGC",11,"substantive"
"II","IGC",11,"matters"
"II","IGC",11,"consensus"
"II","IGC",12,"build"
"II","IGC",12,"addressing"
"II","IGC",12,"based"
"II","IGC",12,"management"
"II","IGC",12,"cross"
"II","IGC",12,"sectoral"
"II","IGC",12,"sector"
"II","IGC",12,"based"
"III","IGC",13,"abnj"
"III","IGC",13,"protected"
"III","IGC",13,"networked"
"III","IGC",13,"create"
"III","IGC",13,"stepping"
"III","IGC",13,"stones"
"III","IGC",13,"facilitate"
"III","IGC",13,"species"
"III","IGC",13,"ecosystem"
"III","IGC",13,"migration"
"V","IGC",14,"negotiations"
"V","IGC",14,"covered"
"V","IGC",14,"forms"
"V","IGC",14,"explicit"
"V","IGC",14,"criteria"
"V","IGC",14,"broad"
"V","IGC",14,"participation"
"V","IGC",14,"active"
"V","IGC",14,"involvement"
"II","IGC",15,"primary"
"II","IGC",15,"goal"
"II","IGC",15,"support"
"II","IGC",15,"international"
"II","IGC",15,"standard"
"II","IGC",15,"behaviour"
"II","IGC",15,"norm"
"II","IGC",15,"irresponsible"
"II","IGC",15,"harmful"
"II","IGC",15,"exploitation"
"II","IGC",15,"marine"
"II","IGC",15,"biodiversity"
"II","IGC",15,"abnj"
"I","IGC",16,"questions"
"I","IGC",16,"establishment"
"I","IGC",16,"ordination"
"I","IGC",16,"scales"
"I","IGC",16,"governance"
"I","IGC",16,"abmts"
"I","IGC",16,"including"
"I","IGC",16,"mpas"
"I","IGC",16,"remain"
"I","IGC",16,"unanswered"
"II","IGC",17,"actors"
"II","IGC",17,"exhaust"
"II","IGC",17,"effort"
"II","IGC",17,"reach"
"II","IGC",17,"substantive"
"II","IGC",17,"matters"
"II","IGC",17,"consensus"
"II","IGC",18,"indigenous"
"II","IGC",18,"peoples"
"II","IGC",18,"local"
"II","IGC",18,"communities"
"II","IGC",18,"iplcs"
"II","IGC",18,"underrepresented"
"II","IGC",18,"debate"
"II","IGC",18,"governance"
"II","IGC",18,"abnj"
"II","IGC",19,"duty"
"II","IGC",19,"cooperate"
"II","IGC",19,"substantive"
"II","IGC",19,"obligation"
"II","IGC",19,"central"
"III","IGC",20,"parties"
"III","IGC",20,"ensure"
"III","IGC",20,"activities"
"III","IGC",20,"abmts"
"III","IGC",20,"conducted"
"III","IGC",20,"consistently"
"III","IGC",20,"decisions"
"III","IGC",20,"adopted"
"I","IGC",21,"commitment"
"I","IGC",21,"chm"
"I","IGC",21,"principle"
"I","IGC",21,"developing"
"I","IGC",21,"evident"
"I","IGC",21,"issue"
"I","IGC",21,"specific"
"I","IGC",21,"discussions"
"I","IGC",21,"revised"
"I","IGC",21,"text"
"I","IGC",21,"includes"
"II","IGC",22,"unprecedented"
"II","IGC",22,"possibilities"
"II","IGC",22,"bilateral"
"II","IGC",22,"regional"
"II","IGC",22,"cooperation"
"II","IGC",22,"identification"
"II","IGC",22,"design"
"II","IGC",22,"management"
"II","IGC",22,"sites"
"II","IGC",22,"resolution"
"II","IGC",22,"mapping"
"III","IGC",23,"instrument"
"III","IGC",23,"enable"
"III","IGC",23,"creation"
"III","IGC",23,"highly"
"III","IGC",23,"protected"
"III","IGC",23,"mpas"
"III","IGC",23,"safeguard"
"III","IGC",23,"vulnerable"
"III","IGC",23,"habitats"
"III","IGC",23,"wildlife"
"III","IGC",23,"promote"
"III","IGC",23,"ecosystem"
"III","IGC",23,"resilience"
"II","IGC",24,"potential"
"II","IGC",24,"strengthen"
"II","IGC",24,"complement"
"II","IGC",24,"existing"
"II","IGC",24,"instruments"
"II","IGC",24,"support"
"II","IGC",24,"organizations"
"II","IGC",24,"protecting"
"II","IGC",24,"marine"
