"SWOT","Negotiation.phase","msg.number","Message"
"W","IGC",1,"fisheries"
"W","IGC",1,"discussed"
"W","IGC",1,"undermine"
"W","IGC",1,"existing"
"W","IGC",1,"legal"
"W","IGC",1,"instrumentst"
"O","IGC",2,"strenghten"
"O","IGC",2,"regional"
"O","IGC",2,"sectoral"
"O","IGC",2,"bodies"
"O","IGC",2,"generate"
"O","IGC",2,"cooperation"
"W","IGC",3,"legal"
"W","IGC",3,"governance"
"W","IGC",3,"gaps"
"W","IGC",3,"remain"
"W","IGC",4,"limitations"
"W","IGC",4,"existing"
"W","IGC",4,"governance"
"W","IGC",4,"framework"
"W","IGC",4,"gaps"
"W","IGC",4,"coverage"
"W","IGC",4,"seas"
"W","IGC",4,"activities"
"W","IGC",5,"practical"
"W","IGC",5,"function"
"W","IGC",5,"scientific"
"W","IGC",5,"technical"
"W","IGC",5,"body"
"W","IGC",5,"remains"
"W","IGC",5,"elusive"
"O","IGC",6,"strengthen"
"O","IGC",6,"international"
"O","IGC",6,"agreements"
"W","IGC",7,"connection"
"W","IGC",7,"coastal"
"W","IGC",7,"abnj"
"W","IGC",7,"reflected"
"S","IGC",8,"convergence"
"S","IGC",8,"science"
"S","IGC",8,"traditional"
"S","IGC",8,"knowledge"
"S","IGC",8,"application"
"S","IGC",8,"precautionary"
"S","IGC",8,"approach"
"S","IGC",8,"ecosystem"
"S","IGC",8,"approach"
"S","IGC",8,"basis"
"S","IGC",8,"identified"
"S","IGC",8,"proposals"
"S","IGC",8,"formulated"
"S","IGC",9,"inclusion"
"S","IGC",9,"provisions"
"S","IGC",9,"adjacent"
"S","IGC",9,"coastal"
"S","IGC",9,"provided"
"S","IGC",10,"references"
"S","IGC",10,"relevant"
"S","IGC",10,"traditional"
"S","IGC",10,"knowledge"
"W","IGC",11,"current"
"W","IGC",11,"decides"
"W","IGC",11,"reach"
"W","IGC",11,"substantive"
"W","IGC",11,"matters"
"W","IGC",11,"consensus"
"O","IGC",12,"build"
"O","IGC",12,"addressing"
"O","IGC",12,"based"
"O","IGC",12,"management"
"O","IGC",12,"cross"
"O","IGC",12,"sectoral"
"O","IGC",12,"sector"
"O","IGC",12,"based"
"O","IGC",13,"abnj"
"O","IGC",13,"protected"
"O","IGC",13,"networked"
"O","IGC",13,"create"
"O","IGC",13,"stepping"
"O","IGC",13,"stones"
"O","IGC",13,"facilitate"
"O","IGC",13,"species"
"O","IGC",13,"ecosystem"
"O","IGC",13,"migration"
"W","IGC",14,"negotiations"
"W","IGC",14,"covered"
"W","IGC",14,"forms"
"W","IGC",14,"explicit"
"W","IGC",14,"criteria"
"W","IGC",14,"broad"
"W","IGC",14,"participation"
"W","IGC",14,"active"
"W","IGC",14,"involvement"
"S","IGC",15,"primary"
"S","IGC",15,"goal"
"S","IGC",15,"support"
"S","IGC",15,"international"
"S","IGC",15,"standard"
"S","IGC",15,"behaviour"
"S","IGC",15,"norm"
"S","IGC",15,"irresponsible"
"S","IGC",15,"harmful"
"S","IGC",15,"exploitation"
"S","IGC",15,"marine"
"S","IGC",15,"biodiversity"
"S","IGC",15,"abnj"
"W","IGC",16,"questions"
"W","IGC",16,"establishment"
"W","IGC",16,"ordination"
"W","IGC",16,"scales"
"W","IGC",16,"governance"
"W","IGC",16,"abmts"
"W","IGC",16,"including"
"W","IGC",16,"mpas"
"W","IGC",16,"remain"
"W","IGC",16,"unanswered"
"S","IGC",17,"actors"
"S","IGC",17,"exhaust"
"S","IGC",17,"effort"
"S","IGC",17,"reach"
"S","IGC",17,"substantive"
"S","IGC",17,"matters"
"S","IGC",17,"consensus"
"W","IGC",18,"indigenous"
"W","IGC",18,"peoples"
"W","IGC",18,"local"
"W","IGC",18,"communities"
"W","IGC",18,"iplcs"
"W","IGC",18,"underrepresented"
"W","IGC",18,"debate"
"W","IGC",18,"governance"
"W","IGC",18,"abnj"
"S","IGC",19,"duty"
"S","IGC",19,"cooperate"
"S","IGC",19,"substantive"
"S","IGC",19,"obligation"
"S","IGC",19,"central"
"S","IGC",20,"parties"
"S","IGC",20,"ensure"
"S","IGC",20,"activities"
"S","IGC",20,"abmts"
"S","IGC",20,"conducted"
"S","IGC",20,"consistently"
"S","IGC",20,"decisions"
"S","IGC",20,"adopted"
"S","IGC",21,"commitment"
"S","IGC",21,"chm"
"S","IGC",21,"principle"
"S","IGC",21,"developing"
"S","IGC",21,"evident"
"S","IGC",21,"issue"
"S","IGC",21,"specific"
"S","IGC",21,"discussions"
"S","IGC",21,"revised"
"S","IGC",21,"text"
"S","IGC",21,"includes"
"O","IGC",22,"unprecedented"
"O","IGC",22,"possibilities"
"O","IGC",22,"bilateral"
"O","IGC",22,"regional"
"O","IGC",22,"cooperation"
"O","IGC",22,"identification"
"O","IGC",22,"design"
"O","IGC",22,"management"
"O","IGC",22,"sites"
"O","IGC",22,"resolution"
"O","IGC",22,"mapping"
"O","IGC",23,"instrument"
"O","IGC",23,"enable"
"O","IGC",23,"creation"
"O","IGC",23,"highly"
"O","IGC",23,"protected"
"O","IGC",23,"mpas"
"O","IGC",23,"safeguard"
"O","IGC",23,"vulnerable"
"O","IGC",23,"habitats"
"O","IGC",23,"wildlife"
"O","IGC",23,"promote"
"O","IGC",23,"ecosystem"
"O","IGC",23,"resilience"
"O","IGC",24,"potential"
"O","IGC",24,"strengthen"
"O","IGC",24,"complement"
"O","IGC",24,"existing"
"O","IGC",24,"instruments"
"O","IGC",24,"support"
"O","IGC",24,"organizations"
"O","IGC",24,"protecting"
"O","IGC",24,"marine"
"O","IGC",24,"ecosystem"
"O","IGC",25,"capacity"
"O","IGC",25,"address"
"O","IGC",25,"issues"
"O","IGC",25,"governance"
"O","IGC",25,"seas"
"O","IGC",25,"enhance"
"O","IGC",25,"implementation"
"O","IGC",25,"informed"
"O","IGC",25,"coordinated"
"O","IGC",25,"decisions"
"O","IGC",25,"sustainable"
"O","IGC",25,"marine"
"O","IGC",25,"resources"
"O","IGC",25,"i.e"
"O","IGC",25,"marine"
"O","IGC",25,"spatial"
"O","IGC",25,"planning"
"O","IGC",25,"including"
"O","IGC",25,"tools"
"O","IGC",25,"data"
"O","IGC",25,"dynamic"
"O","IGC",25,"management"
"O","IGC",26,"benefit"
"O","IGC",26,"vulneralble"
"O","IGC",26,"marine"
"O","IGC",26,"ecosystems"
"O","IGC",26,"vme"
"O","IGC",26,"development"
"O","IGC",26,"regional"
"O","IGC",26,"plans"
"O","IGC",26,"standardized"
"O","IGC",26,"assessment"
"O","IGC",26,"approaches"
"O","IGC",26,"harmonization"
"O","IGC",26,"wide"
"O","IGC",26,"range"
"O","IGC",26,"party"
"O","IGC",26,"agreements"
"S","IGC",27,"openess"
"S","IGC",27,"inclusion"
"S","IGC",27,"reviewing"
"S","IGC",27,"priorities"
"S","IGC",27,"developing"
"S","IGC",27,"parties"
"S","IGC",27,"terms"
"S","IGC",27,"capacity"
"S","IGC",27,"building"
"S","IGC",27,"transfer"
"S","IGC",27,"marine"
"S","IGC",27,"technology"
"W","IGC",28,"undermine"
"W","IGC",28,"context"
"W","IGC",28,"reveals"
"W","IGC",28,"soft"
"W","IGC",28,"terms"
"W","IGC",28,"level"
"W","IGC",28,"precision"
"W","IGC",28,"obligation"
"W","IGC",28,"delegation"
"W","IGC",28,"found"
"W","IGC",28,"instrument"
"W","IGC",29,"clarification"
"W","IGC",29,"principles"
"W","IGC",29,"unclos"
"W","IGC",29,"freedom"
"W","IGC",29,"seas"
"W","IGC",29,"responsibility"
"W","IGC",29,"protect"
"W","IGC",29,"preserve"
"W","IGC",29,"marine"
"W","IGC",29,"environment"
"W","IGC",29,"suit"
"W","IGC",29,"circumstances"
"S","IGC",30,"draft"
"S","IGC",30,"text"
"S","IGC",30,"specific"
"S","IGC",30,"objectives"
"S","IGC",30,"abmts"
"S","IGC",30,"include"
"S","IGC",30,"rehabilitating"
"S","IGC",30,"restoring"
"S","IGC",30,"biodiversity"
"S","IGC",30,"ecosystems"
"S","IGC",30,"enhancing"
"S","IGC",30,"productivity"
"S","IGC",30,"health"
"S","IGC",30,"building"
"S","IGC",30,"resilience"
"S","IGC",30,"stressors"
"S","IGC",30,"including"
"S","IGC",30,"related"
"S","IGC",30,"climate"
"S","IGC",30,"change"
"S","IGC",30,"ocean"
"S","IGC",30,"acidification"
"S","IGC",30,"marine"
"S","IGC",30,"pollution"
"O","IGC",31,"equalize"
"O","IGC",31,"fisheries"
"O","IGC",31,"benefits"
"O","IGC",31,"distribution"
"O","IGC",31,"low"
