"SWOT.Cats","Negotiation.phase","msg.number","Message"
"W II","IGC",1,"fisheries"
"W II","IGC",1,"discussed"
"W II","IGC",1,"undermine"
"W II","IGC",1,"existing"
"W II","IGC",1,"legal"
"W II","IGC",1,"instrumentst"
"O II","IGC",2,"strenghten"
"O II","IGC",2,"regional"
"O II","IGC",2,"sectoral"
"O II","IGC",2,"bodies"
"O II","IGC",2,"generate"
"O II","IGC",2,"cooperation"
"W II","IGC",3,"legal"
"W II","IGC",3,"governance"
"W II","IGC",3,"gaps"
"W II","IGC",3,"remain"
"W II","IGC",4,"limitations"
"W II","IGC",4,"existing"
"W II","IGC",4,"governance"
"W II","IGC",4,"framework"
"W II","IGC",4,"gaps"
"W II","IGC",4,"coverage"
"W II","IGC",4,"seas"
"W II","IGC",4,"activities"
"W I","IGC",5,"practical"
"W I","IGC",5,"function"
"W I","IGC",5,"scientific"
"W I","IGC",5,"technical"
"W I","IGC",5,"body"
"W I","IGC",5,"remains"
"W I","IGC",5,"elusive"
"O II","IGC",6,"strengthen"
"O II","IGC",6,"international"
"O II","IGC",6,"agreements"
"W II","IGC",7,"connection"
"W II","IGC",7,"coastal"
"W II","IGC",7,"abnj"
"W II","IGC",7,"reflected"
"S I","IGC",8,"convergence"
"S I","IGC",8,"science"
"S I","IGC",8,"traditional"
"S I","IGC",8,"knowledge"
"S I","IGC",8,"application"
"S I","IGC",8,"precautionary"
"S I","IGC",8,"approach"
"S I","IGC",8,"ecosystem"
"S I","IGC",8,"approach"
"S I","IGC",8,"basis"
"S I","IGC",8,"identified"
"S I","IGC",8,"proposals"
"S I","IGC",8,"formulated"
"S III","IGC",9,"inclusion"
"S III","IGC",9,"provisions"
"S III","IGC",9,"adjacent"
"S III","IGC",9,"coastal"
"S III","IGC",9,"provided"
"S I","IGC",10,"references"
"S I","IGC",10,"relevant"
"S I","IGC",10,"traditional"
"S I","IGC",10,"knowledge"
"W II","IGC",11,"current"
"W II","IGC",11,"decides"
"W II","IGC",11,"reach"
"W II","IGC",11,"substantive"
"W II","IGC",11,"matters"
"W II","IGC",11,"consensus"
"O II","IGC",12,"build"
"O II","IGC",12,"addressing"
"O II","IGC",12,"based"
"O II","IGC",12,"management"
"O II","IGC",12,"cross"
"O II","IGC",12,"sectoral"
"O II","IGC",12,"sector"
"O II","IGC",12,"based"
"O III","IGC",13,"abnj"
"O III","IGC",13,"protected"
"O III","IGC",13,"networked"
"O III","IGC",13,"create"
"O III","IGC",13,"stepping"
"O III","IGC",13,"stones"
"O III","IGC",13,"facilitate"
"O III","IGC",13,"species"
"O III","IGC",13,"ecosystem"
"O III","IGC",13,"migration"
"W V","IGC",14,"negotiations"
"W V","IGC",14,"covered"
"W V","IGC",14,"forms"
"W V","IGC",14,"explicit"
"W V","IGC",14,"criteria"
"W V","IGC",14,"broad"
"W V","IGC",14,"participation"
"W V","IGC",14,"active"
"W V","IGC",14,"involvement"
"S II","IGC",15,"primary"
"S II","IGC",15,"goal"
"S II","IGC",15,"support"
"S II","IGC",15,"international"
"S II","IGC",15,"standard"
"S II","IGC",15,"behaviour"
"S II","IGC",15,"norm"
"S II","IGC",15,"irresponsible"
"S II","IGC",15,"harmful"
"S II","IGC",15,"exploitation"
"S II","IGC",15,"marine"
"S II","IGC",15,"biodiversity"
"S II","IGC",15,"abnj"
"W I","IGC",16,"questions"
"W I","IGC",16,"establishment"
"W I","IGC",16,"ordination"
"W I","IGC",16,"scales"
"W I","IGC",16,"governance"
"W I","IGC",16,"abmts"
"W I","IGC",16,"including"
"W I","IGC",16,"mpas"
"W I","IGC",16,"remain"
"W I","IGC",16,"unanswered"
"S II","IGC",17,"actors"
"S II","IGC",17,"exhaust"
"S II","IGC",17,"effort"
"S II","IGC",17,"reach"
"S II","IGC",17,"substantive"
"S II","IGC",17,"matters"
"S II","IGC",17,"consensus"
"W II","IGC",18,"indigenous"
"W II","IGC",18,"peoples"
"W II","IGC",18,"local"
"W II","IGC",18,"communities"
"W II","IGC",18,"iplcs"
"W II","IGC",18,"underrepresented"
"W II","IGC",18,"debate"
"W II","IGC",18,"governance"
"W II","IGC",18,"abnj"
"S II","IGC",19,"duty"
"S II","IGC",19,"cooperate"
"S II","IGC",19,"substantive"
"S II","IGC",19,"obligation"
"S II","IGC",19,"central"
"S III","IGC",20,"parties"
"S III","IGC",20,"ensure"
"S III","IGC",20,"activities"
"S III","IGC",20,"abmts"
"S III","IGC",20,"conducted"
"S III","IGC",20,"consistently"
"S III","IGC",20,"decisions"
"S III","IGC",20,"adopted"
"S I","IGC",21,"commitment"
"S I","IGC",21,"chm"
"S I","IGC",21,"principle"
"S I","IGC",21,"developing"
"S I","IGC",21,"evident"
"S I","IGC",21,"issue"
"S I","IGC",21,"specific"
"S I","IGC",21,"discussions"
"S I","IGC",21,"revised"
"S I","IGC",21,"text"
"S I","IGC",21,"includes"
"O II","IGC",22,"unprecedented"
"O II","IGC",22,"possibilities"
"O II","IGC",22,"bilateral"
"O II","IGC",22,"regional"
"O II","IGC",22,"cooperation"
"O II","IGC",22,"identification"
"O II","IGC",22,"design"
"O II","IGC",22,"management"
"O II","IGC",22,"sites"
"O II","IGC",22,"resolution"
"O II","IGC",22,"mapping"
"O III","IGC",23,"instrument"
"O III","IGC",23,"enable"
"O III","IGC",23,"creation"
"O III","IGC",23,"highly"
"O III","IGC",23,"protected"
"O III","IGC",23,"mpas"
"O III","IGC",23,"safeguard"
"O III","IGC",23,"vulnerable"
"O III","IGC",23,"habitats"
"O III","IGC",23,"wildlife"
"O III","IGC",23,"promote"
"O III","IGC",23,"ecosystem"
"O III","IGC",23,"resilience"
"O II","IGC",24,"potential"
"O II","IGC",24,"strengthen"
"O II","IGC",24,"complement"
"O II","IGC",24,"existing"
"O II","IGC",24,"instruments"
"O II","IGC",24,"support"
"O II","IGC",24,"organizations"
"O II","IGC",24,"protecting"
"O II","IGC",24,"marine"
"O II","IGC",24,"ecosystem"
"O V","IGC",25,"capacity"
"O V","IGC",25,"address"
"O V","IGC",25,"issues"
"O V","IGC",25,"governance"
"O V","IGC",25,"seas"
"O V","IGC",25,"enhance"
"O V","IGC",25,"implementation"
"O V","IGC",25,"informed"
"O V","IGC",25,"coordinated"
"O V","IGC",25,"decisions"
"O V","IGC",25,"sustainable"
"O V","IGC",25,"marine"
"O V","IGC",25,"resources"
"O V","IGC",25,"i.e"
"O V","IGC",25,"marine"
"O V","IGC",25,"spatial"
"O V","IGC",25,"planning"
"O V","IGC",25,"including"
"O V","IGC",25,"tools"
"O V","IGC",25,"data"
"O V","IGC",25,"dynamic"
"O V","IGC",25,"management"
"O II","IGC",26,"benefit"
"O II","IGC",26,"vulneralble"
"O II","IGC",26,"marine"
"O II","IGC",26,"ecosystems"
"O II","IGC",26,"vme"
"O II","IGC",26,"development"
"O II","IGC",26,"regional"
"O II","IGC",26,"plans"
"O II","IGC",26,"standardized"
"O II","IGC",26,"assessment"
"O II","IGC",26,"approaches"
"O II","IGC",26,"harmonization"
"O II","IGC",26,"wide"
"O II","IGC",26,"range"
"O II","IGC",26,"party"
"O II","IGC",26,"agreements"
"S VI","IGC",27,"openess"
"S VI","IGC",27,"inclusion"
"S VI","IGC",27,"reviewing"
"S VI","IGC",27,"priorities"
"S VI","IGC",27,"developing"
"S VI","IGC",27,"parties"
"S VI","IGC",27,"terms"
"S VI","IGC",27,"capacity"
"S VI","IGC",27,"building"
"S VI","IGC",27,"transfer"
"S VI","IGC",27,"marine"
"S VI","IGC",27,"technology"
"W I","IGC",28,"undermine"
"W I","IGC",28,"context"
"W I","IGC",28,"reveals"
"W I","IGC",28,"soft"
