"uniqueID","Publication.Year","Negotiation.phase","SWOT.Cats","SWOT","Category","Message"
2,2021,"IGC","W II","W","II","Fisheries are not being discussed to “not undermine” the existing legal instrumentst."
3,2020,"IGC","O II","O","II","to strenghten regional and sectoral bodies and generate cooperation among them."
7,2020,"IGC","W II","W","II","Many legal and governance gaps remain."
8,2020,"IGC","W II","W","II","Limitations of the existing governance framework and gaps in coverage of the high seas activities."
9,2020,"IGC","W I","W","I","The practical function of Scientific and Technical Body remains elusive."
10,2020,"IGC","O II","O","II","Could strengthen other international agreements."
11,2020,"IGC","W II","W","II","Connection between coastal areas and ABNJ is not well reflected."
13,2020,"IGC","S I","S","I","General convergence that the best available science, Traditional Knowledge, the application of the Precautionary Approach and an ecosystem approach should be the basis upon which areas are identified and proposals are formulated."
15,2020,"IGC","S III","S","III","Inclusion of a number of provisions on how the interests of adjacent coastal States would be provided for."
16,2020,"IGC","S I","S","I","There are references to relevant traditional knowledge."
17,2020,"IGC","W II","W","II","The current BBNJ agreement decides to reach agreement on substantive matters by consensus."
18,2020,"IGC","O II","O","II","The new BBNJ agreement could build on addressing area-based management that is either cross-sectoral or sector based."
19,2020,"IGC","O III","O","III","ABNJ protected areas could be networked together to create stepping stones to facilitate species and ecosystem migration."
20,2020,"IGC","W V","W","V","The negotiations have not covered any forms of explicit criteria for broad participation and the active involvement yet."
21,2020,"IGC","S II","S","II","The primary goal of the BBNJ agreement would be to support an international standard of behaviour, or a norm against the irresponsible use and harmful exploitation of marine biodiversity of ABNJ."
26,2020,"IGC","W I","W","I","Important questions regarding the establishment and co-ordination at various scales of governance of ABMTs, including MPAs remain unanswered."
27,2020,"IGC","S II","S","II","Actors shall exhaust every effort to reach agreement on substantive matters by consensus."
30,2020,"IGC","W II","W","II","Indigenous Peoples and local communities (IPLCs) have generally been underrepresented in the debate about governance of ABNJ."
33,2020,"IGC","S II","S","II","The duty to cooperate is a substantive obligation central to the BBNJ agreement."
37,2020,"IGC","S III","S","III","The BBNJ States provides that state parties shall ensure that activities within ABMTs are conducted consistently with the decisions adopted in BBNJ."
38,2020,"IGC","S I","S","I","The commitment to the CHM principle among developing states was evident throughout the issue-specific discussions, and the revised BBNJ text includes it."
41,2020,"IGC","O II","O","II","The agreement opens up unprecedented possibilities for bilateral or regional cooperation in identification, design and management of sites from high-resolution mapping."
54,2020,"IGC","O III","O","III","the new instrument should enable creation of highly and fully protected MPAs to safeguard vulnerable habitats and wildlife and promote ecosystem resilience."
