"","SWOT","index","sentiment"
"1","S",15,2
"2","S",17,2
"3","S",20,1
"4","S",21,2
"5","S",30,-1
"6","S",35,-1
"7","S",36,-1
"8","S",37,0
"9","S",44,1
"10","S",45,2
"11","S",63,-1
"12","S",65,3
"13","S",66,3
"14","S",67,4
"15","S",75,1
"16","S",95,1
"17","S",143,2
"18","S",171,1
"19","S",176,3
"20","S",177,-2
"21","S",183,3
"22","S",214,1
"23","S",239,2
"24","S",244,-1
"25","S",271,1
"26","W",1,-1
"27","W",3,1
"28","W",11,2
"29","W",14,1
"30","W",28,-2
"31","W",29,3
"32","W",43,6
"33","W",50,-2
"34","W",54,-2
"35","W",85,-2
"36","W",90,1
"37","W",91,-2
"38","W",99,-2
"39","W",114,1
"40","W",117,-1
"41","W",132,-1
"42","W",135,-2
"43","W",144,-1
"44","W",172,-2
"45","W",185,4
"46","W",186,2
"47","W",187,-1
"48","W",197,-2
"49","W",204,-3
"50","W",211,0
"51","W",215,2
"52","W",219,-1
"53","W",236,1
"54","W",246,-1
"55","W",272,0
"56","W",289,2
"57","W",290,-2
"58","W",294,-3
"59","W",297,-2
"60","W",315,4
"61","W",317,2
"62","W",321,1
"63","W",332,4
"64","W",333,2
"65","W",337,-3
"66","W",340,3
"67","W",345,-2
"68","W",371,-3
"69","W",437,1
"70","W",439,1
"71","W",518,1
"72","W",530,1
"73","W",540,-1
"74","W",546,-1
"75","W",554,-6
"76","O",6,2
"77","O",13,1
"78","O",23,0
"79","O",24,4
"80","O",26,2
"81","O",31,2
"82","O",32,4
"83","O",34,1
"84","O",42,1
"85","O",46,2
"86","O",56,4
"87","O",62,1
"88","O",64,1
"89","O",71,2
"90","O",77,2
"91","O",84,2
"92","O",94,3
"93","O",96,2
"94","O",97,2
"95","O",103,4
"96","O",104,7
"97","O",112,0
"98","O",121,1
"99","O",122,1
"100","O",123,1
"101","O",124,0
"102","O",127,2
"103","O",129,1
"104","O",138,1
"105","O",139,4
"106","O",142,2
"107","O",151,1
"108","O",152,1
"109","O",153,2
"110","O",154,3
"111","O",156,1
"112","O",160,2
"113","O",163,1
"114","O",166,1
"115","O",167,-1
"116","O",169,3
"117","O",175,-2
"118","O",182,1
"119","O",189,3
"120","O",190,3
"121","O",191,3
"122","O",194,2
"123","O",195,3
"124","O",198,0
"125","O",199,2
"126","O",201,1
"127","O",203,1
"128","O",210,3
"129","O",213,2
"130","O",220,1
"131","O",221,1
"132","O",222,2
"133","O",225,2
"134","O",228,1
"135","O",229,1
"136","O",231,1
"137","O",243,4
"138","O",248,-2
"139","O",249,-1
"140","O",255,3
"141","O",257,1
"142","O",259,2
"143","O",263,2
"144","O",265,2
"145","O",266,1
"146","O",269,2
"147","O",273,2
"148","O",276,1
"149","O",277,2
"150","O",278,2
"151","O",279,2
"152","O",282,3
"153","O",283,-2
"154","O",298,3
"155","O",299,-1
"156","O",301,2
"157","O",302,-1
"158","O",304,4
"159","O",305,0
"160","O",310,1
"161","O",319,-1
"162","O",320,3
"163","O",323,2
"164","O",324,1
"165","O",325,5
"166","O",331,6
"167","O",339,1
"168","O",346,2
"169","O",348,2
"170","O",349,2
"171","O",351,0
"172","O",352,3
"173","O",353,2
"174","O",357,1
"175","O",359,2
"176","O",363,1
"177","O",365,4
"178","O",376,3
"179","O",379,2
"180","O",380,2
"181","O",381,-2
"182","O",385,6
"183","O",387,0
"184","O",390,1
"185","O",391,-2
"186","O",394,2
"187","O",395,2
"188","O",398,1
"189","O",399,2
"190","O",400,2
"191","O",401,1
"192","O",402,6
"193","O",405,0
"194","O",411,3
"195","O",412,-1
"196","O",413,4
"197","O",414,1
"198","O",415,-1
"199","O",416,1
"200","O",418,2
"201","O",420,2
"202","O",426,1
"203","O",427,2
"204","O",431,2
"205","O",432,1
"206","O",434,4
"207","O",441,1
"208","O",442,-2
"209","O",444,2
"210","O",446,2
