"","Negotiation.phase","index","sentiment","last.Year"
"1","BBNJ WG","71",2,2015
"2","BBNJ WG","75",1,2015
"3","BBNJ WG","77",2,2015
"4","BBNJ WG","80",2,2015
"5","BBNJ WG","151",1,2015
"6","BBNJ WG","152",1,2015
"7","BBNJ WG","153",2,2015
"8","BBNJ WG","154",3,2015
"9","BBNJ WG","156",1,2015
"10","BBNJ WG","219",-1,2015
"11","BBNJ WG","220",1,2015
"12","BBNJ WG","221",1,2015
"13","BBNJ WG","222",2,2015
"14","BBNJ WG","223",-1,2015
"15","BBNJ WG","225",2,2015
"16","BBNJ WG","273",2,2015
"17","BBNJ WG","276",1,2015
"18","BBNJ WG","277",2,2015
"19","BBNJ WG","278",2,2015
"20","BBNJ WG","279",2,2015
"21","BBNJ WG","280",1,2015
"22","BBNJ WG","319",-1,2015
"23","BBNJ WG","320",3,2015
"24","BBNJ WG","321",1,2015
"25","BBNJ WG","323",2,2015
"26","BBNJ WG","324",1,2015
"27","BBNJ WG","325",5,2015
"28","BBNJ WG","326",0,2015
"29","BBNJ WG","363",1,2015
"30","BBNJ WG","365",4,2015
"31","BBNJ WG","366",-1,2015
"32","BBNJ WG","398",1,2015
"33","BBNJ WG","399",2,2015
"34","BBNJ WG","400",2,2015
"35","BBNJ WG","401",1,2015
"36","BBNJ WG","402",6,2015
"37","BBNJ WG","431",2,2015
"38","BBNJ WG","432",1,2015
"39","BBNJ WG","434",4,2015
"40","BBNJ WG","455",2,2015
"41","BBNJ WG","457",1,2015
"42","BBNJ WG","458",2,2015
"43","BBNJ WG","478",1,2015
"44","BBNJ WG","480",-2,2015
"45","BBNJ WG","500",-1,2015
"46","BBNJ WG","516",2,2015
"47","BBNJ WG","517",-3,2015
"48","BBNJ WG","567",2,2015
"49","BBNJ WG","571",2,2015
"50","BBNJ WG","575",-2,2015
"51","BBNJ WG","579",-1,2015
"52","BBNJ WG","582",-1,2015
"53","BBNJ WG","585",1,2015
"54","BBNJ WG","588",-2,2015
"55","PrepCom","42",1,2018
"56","PrepCom","43",6,2018
"57","PrepCom","44",1,2018
"58","PrepCom","45",2,2018
"59","PrepCom","46",2,2018
"60","PrepCom","50",-2,2018
"61","PrepCom","54",-2,2018
"62","PrepCom","56",4,2018
"63","PrepCom","62",1,2018
"64","PrepCom","63",-1,2018
"65","PrepCom","64",1,2018
"66","PrepCom","65",3,2018
"67","PrepCom","66",3,2018
"68","PrepCom","67",4,2018
"69","PrepCom","121",1,2018
"70","PrepCom","122",1,2018
"71","PrepCom","123",1,2018
"72","PrepCom","124",0,2018
"73","PrepCom","127",2,2018
"74","PrepCom","129",1,2018
"75","PrepCom","132",-1,2018
"76","PrepCom","135",-2,2018
"77","PrepCom","138",1,2018
"78","PrepCom","139",4,2018
"79","PrepCom","142",2,2018
"80","PrepCom","143",2,2018
"81","PrepCom","144",-1,2018
"82","PrepCom","191",3,2018
"83","PrepCom","194",2,2018
"84","PrepCom","195",3,2018
"85","PrepCom","197",-2,2018
"86","PrepCom","198",0,2018
"87","PrepCom","199",2,2018
"88","PrepCom","201",1,2018
"89","PrepCom","203",1,2018
"90","PrepCom","204",-3,2018
"91","PrepCom","210",3,2018
"92","PrepCom","211",0,2018
"93","PrepCom","213",2,2018
"94","PrepCom","214",1,2018
"95","PrepCom","215",2,2018
"96","PrepCom","255",3,2018
"97","PrepCom","257",1,2018
"98","PrepCom","259",2,2018
"99","PrepCom","263",2,2018
"100","PrepCom","265",2,2018
"101","PrepCom","266",1,2018
"102","PrepCom","269",2,2018
"103","PrepCom","270",0,2018
"104","PrepCom","271",1,2018
"105","PrepCom","272",0,2018
"106","PrepCom","301",2,2018
"107","PrepCom","302",-1,2018
"108","PrepCom","304",4,2018
"109","PrepCom","305",0,2018
"110","PrepCom","310",1,2018
"111","PrepCom","315",4,2018
"112","PrepCom","317",2,2018
"113","PrepCom","345",-2,2018
"114","PrepCom","346",2,2018
"115","PrepCom","347",-2,2018
"116","PrepCom","348",2,2018
"117","PrepCom","349",2,2018
"118","PrepCom","351",0,2018
"119","PrepCom","352",3,2018
"120","PrepCom","353",2,2018
"121","PrepCom","357",1,2018
"122","PrepCom","359",2,2018
"123","PrepCom","384",2,2018
"124","PrepCom","385",6,2018
"125","PrepCom","386",-2,2018
"126","PrepCom","387",0,2018
"127","PrepCom","390",1,2018
"128","PrepCom","391",-2,2018
"129","PrepCom","394",2,2018
"130","PrepCom","395",2,2018
"131","PrepCom","396",-3,2018
"132","PrepCom","416",1,2018
"133","PrepCom","418",2,2018
"134","PrepCom","419",-2,2018
"135","PrepCom","420",2,2018
"136","PrepCom","426",1,2018
"137","PrepCom","427",2,2018
"138","PrepCom","429",-2,2018
"139","PrepCom","444",2,2018
"140","PrepCom","446",2,2018
"141","PrepCom","447",1,2018
"142","PrepCom","449",4,2018
"143","PrepCom","450",2,2018
"144","PrepCom","452",1,2018
"145","PrepCom","453",3,2018
"146","PrepCom","454",1,2018
"147","PrepCom","468",-2,2018
"148","PrepCom","469",-3,2018
"149","PrepCom","470",2,2018
"150","PrepCom","471",-1,2018
"151","PrepCom","473",2,2018
"152","PrepCom","474",0,2018
"153","PrepCom","475",2,2018
"154","PrepCom","491",1,2018
"155","PrepCom","492",-2,2018
"156","PrepCom","493",2,2018
"157","PrepCom","495",1,2018
"158","PrepCom","496",2,2018
"159","PrepCom","497",-1,2018
"160","PrepCom","507",-3,2018
"161","PrepCom","508",-1,2018
"162","PrepCom","513",3,2018
"163","PrepCom","514",-1,2018
"164","PrepCom","522",1,2018
"165","PrepCom","525",0,2018
"166","PrepCom","527",-2,2018
"167","PrepCom","528",-2,2018
"168","PrepCom","537",0,2018
"169","PrepCom","538",2,2018
"170","PrepCom","544",0,2018
"171","PrepCom","546",-1,2018
"172","PrepCom","558",3,2018
"173","IGC","1",-1,2021
"174","IGC","3",1,2021
"175","IGC","6",2,2021
"176","IGC","11",2,2021
"177","IGC","13",1,2021
"178","IGC","14",1,2021
"179","IGC","15",2,2021
"180","IGC","17",2,2021
"181","IGC","20",1,2021
"182","IGC","21",2,2021
"183","IGC","23",0,2021
"184","IGC","24",4,2021
"185","IGC","26",2,2021
"186","IGC","28",-2,2021
"187","IGC","29",3,2021
"188","IGC","30",-1,2021
"189","IGC","31",2,2021
"190","IGC","32",4,2021
"191","IGC","34",1,2021
"192","IGC","35",-1,2021
"193","IGC","36",-1,2021
"194","IGC","37",0,2021
"195","IGC","84",2,2021
"196","IGC","85",-2,2021
"197","IGC","88",-2,2021
"198","IGC","90",1,2021
"199","IGC","91",-2,2021
"200","IGC","94",3,2021
"201","IGC","95",1,2021
"202","IGC","96",2,2021
"203","IGC","97",2,2021
"204","IGC","99",-2,2021
"205","IGC","103",4,2021
"206","IGC","104",7,2021
"207","IGC","107",-2,2021
"208","IGC","112",0,2021
"209","IGC","114",1,2021
"210","IGC","116",-2,2021
"211","IGC","117",-1,2021
"212","IGC","157",-1,2021
"213","IGC","160",2,2021
"214","IGC","162",-2,2021
"215","IGC","163",1,2021
"216","IGC","166",1,2021
"217","IGC","167",-1,2021
"218","IGC","169",3,2021
"219","IGC","171",1,2021
"220","IGC","172",-2,2021
"221","IGC","174",-1,2021
"222","IGC","175",-2,2021
"223","IGC","176",3,2021
"224","IGC","177",-2,2021
"225","IGC","178",1,2021
"226","IGC","179",1,2021
"227","IGC","181",-2,2021
"228","IGC","182",1,2021
"229","IGC","183",3,2021
"230","IGC","185",4,2021
"231","IGC","186",2,2021
"232","IGC","187",-1,2021
"233","IGC","189",3,2021
"234","IGC","190",3,2021
"235","IGC","228",1,2021
"236","IGC","229",1,2021
"237","IGC","231",1,2021
"238","IGC","234",-1,2021
"239","IGC","236",1,2021
"240","IGC","239",2,2021
"241","IGC","243",4,2021
"242","IGC","244",-1,2021
"243","IGC","245",0,2021
"244","IGC","246",-1,2021
"245","IGC","248",-2,2021
"246","IGC","249",-1,2021
"247","IGC","250",1,2021
"248","IGC","281",-2,2021
"249","IGC","282",3,2021
"250","IGC","283",-2,2021
"251","IGC","289",2,2021
"252","IGC","290",-2,2021
"253","IGC","293",0,2021
"254","IGC","294",-3,2021
"255","IGC","297",-2,2021
"256","IGC","298",3,2021
"257","IGC","299",-1,2021
"258","IGC","331",6,2021
"259","IGC","332",4,2021
"260","IGC","333",2,2021
"261","IGC","337",-3,2021
"262","IGC","338",2,2021
"263","IGC","339",1,2021
"264","IGC","340",3,2021
"265","IGC","368",-1,2021
"266","IGC","371",-3,2021
"267","IGC","372",2,2021
"268","IGC","375",2,2021
"269","IGC","376",3,2021
"270","IGC","379",2,2021
"271","IGC","380",2,2021
"272","IGC","381",-2,2021
"273","IGC","404",-1,2021
"274","IGC","405",0,2021
"275","IGC","407",-2,2021
"276","IGC","411",3,2021
"277","IGC","412",-1,2021
"278","IGC","413",4,2021
"279","IGC","414",1,2021
"280","IGC","415",-1,2021
"281","IGC","436",-2,2021
"282","IGC","437",1,2021
"283","IGC","439",1,2021
"284","IGC","440",-2,2021
"285","IGC","441",1,2021
"286","IGC","442",-2,2021
"287","IGC","459",2,2021
"288","IGC","463",-1,2021
"289","IGC","464",3,2021
"290","IGC","466",1,2021
"291","IGC","484",2,2021
"292","IGC","485",-2,2021
"293","IGC","502",5,2021
"294","IGC","503",-3,2021
"295","IGC","504",-1,2021
"296","IGC","518",1,2021
"297","IGC","530",1,2021
"298","IGC","532",-4,2021
"299","IGC","540",-1,2021
"300","IGC","541",1,2021
"301","IGC","543",2,2021
"302","IGC","554",-6,2021
"303","IGC","555",2,2021
"304","IGC","557",1,2021
"305","IGC","560",1,2021
"306","IGC","561",2,2021
"307","IGC","562",1,2021
"308","IGC","564",1,2021
"309","IGC","565",-3,2021
"310","IGC","566",6,2021
"311","IGC","568",2,2021
"312","IGC","569",-4,2021
"313","IGC","570",1,2021
"314","IGC","573",-3,2021
"315","IGC","574",-2,2021
"316","IGC","577",-4,2021
"317","IGC","581",2,2021
"318","IGC","583",2,2021
"319","IGC","584",2,2021
"320","IGC","587",1,2021
"321","IGC","589",-2,2021
"322","IGC","590",1,2021
"323","IGC","591",1,2021
"324","IGC","592",1,2021
"325","IGC","594",1,2021
"326","IGC","595",1,2021
"327","IGC","596",3,2021
"328","IGC","597",-1,2021
"329","IGC","600",2,2021
"330","IGC","602",-2,2021
"331","IGC","603",3,2021
"332","IGC","605",-2,2021
"333","IGC","606",1,2021
"334","IGC","607",1,2021
"335","IGC","608",-2,2021
