"","Negotiation.phase","index","negative","positive","sentiment","last.Year"
"1","BBNJ WG","71",1,1,0,2015
"2","BBNJ WG","72",0,1,1,2015
"3","BBNJ WG","75",0,1,1,2015
"4","BBNJ WG","77",0,1,1,2015
"5","BBNJ WG","78",0,1,1,2015
"6","BBNJ WG","79",0,1,1,2015
"7","BBNJ WG","80",0,1,1,2015
"8","BBNJ WG","146",1,0,-1,2015
"9","BBNJ WG","148",0,1,1,2015
"10","BBNJ WG","150",0,2,2,2015
"11","BBNJ WG","151",0,2,2,2015
"12","BBNJ WG","152",0,2,2,2015
"13","BBNJ WG","153",1,0,-1,2015
"14","BBNJ WG","154",2,3,1,2015
"15","BBNJ WG","216",0,1,1,2015
"16","BBNJ WG","218",1,0,-1,2015
"17","BBNJ WG","220",0,3,3,2015
"18","BBNJ WG","221",0,1,1,2015
"19","BBNJ WG","222",0,1,1,2015
"20","BBNJ WG","223",1,0,-1,2015
"21","BBNJ WG","225",0,2,2,2015
"22","BBNJ WG","226",1,0,-1,2015
"23","BBNJ WG","273",0,1,1,2015
"24","BBNJ WG","274",1,0,-1,2015
"25","BBNJ WG","275",0,2,2,2015
"26","BBNJ WG","277",0,1,1,2015
"27","BBNJ WG","278",0,1,1,2015
"28","BBNJ WG","279",0,2,2,2015
"29","BBNJ WG","280",2,0,-2,2015
"30","BBNJ WG","321",1,0,-1,2015
"31","BBNJ WG","323",0,1,1,2015
"32","BBNJ WG","325",0,3,3,2015
"33","BBNJ WG","326",1,1,0,2015
"34","BBNJ WG","360",0,1,1,2015
"35","BBNJ WG","364",0,1,1,2015
"36","BBNJ WG","365",0,1,1,2015
"37","BBNJ WG","366",2,0,-2,2015
"38","BBNJ WG","397",0,1,1,2015
"39","BBNJ WG","398",0,2,2,2015
"40","BBNJ WG","399",0,2,2,2015
"41","BBNJ WG","401",2,1,-1,2015
"42","BBNJ WG","402",0,2,2,2015
"43","BBNJ WG","430",0,1,1,2015
"44","BBNJ WG","431",0,1,1,2015
"45","BBNJ WG","432",0,3,3,2015
"46","BBNJ WG","433",0,1,1,2015
"47","BBNJ WG","434",0,5,5,2015
"48","BBNJ WG","455",0,1,1,2015
"49","BBNJ WG","457",0,1,1,2015
"50","BBNJ WG","458",0,1,1,2015
"51","BBNJ WG","480",1,0,-1,2015
"52","BBNJ WG","515",1,0,-1,2015
"53","BBNJ WG","516",0,2,2,2015
"54","BBNJ WG","517",0,1,1,2015
"55","BBNJ WG","529",0,1,1,2015
"56","BBNJ WG","553",0,1,1,2015
"57","BBNJ WG","567",0,1,1,2015
"58","BBNJ WG","571",2,1,-1,2015
"59","BBNJ WG","575",2,1,-1,2015
